"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","914","3964","252","679","589","102","16.4%","21.8%",".308",".337",".301",".425",".609",".427","","176","31.3","394.0","-9.3","52.9","10155"
"Mookie Betts","- - -","1061","4851","208","836","631","151","10.2%","13.6%",".230",".303",".293",".368",".523",".377","","136","46.8","261.4","48.0","48.3","13611"
"Francisco Lindor","- - -","1063","4740","184","679","581","125","8.5%","15.3%",".197",".294",".277",".342",".474",".346","","118","6.8","110.8","138.8","42.0","12916"
"Nolan Arenado","- - -","1140","4850","271","696","855","19","8.6%","14.9%",".262",".292",".291",".353",".553",".376","","127","-1.6","157.6","90.6","41.3","9777"
"Jose Altuve","HOU","1064","4707","171","731","536","148","8.4%","12.7%",".191",".326",".309",".373",".500",".372","","140","1.4","224.7","15.6","40.7","5417"
"Paul Goldschmidt","- - -","1158","4998","232","757","740","101","13.5%","22.1%",".231",".349",".297",".394",".528",".389","","145","23.6","297.3","-66.4","40.3","9218"
"Jose Ramirez","CLE","1054","4433","190","665","649","164","10.3%","12.1%",".233",".280",".279",".357",".513",".365","","131","44.3","209.0","33.7","39.9","13510"
"Freddie Freeman","- - -","1091","4752","206","743","683","56","12.4%","18.3%",".229",".343",".305",".397",".534",".391","","145","13.8","281.2","-51.1","38.8","5361"
"Manny Machado","- - -","1156","5007","250","689","724","75","9.1%","17.0%",".226",".296",".282",".348",".508",".360","","129","-4.9","167.2","37.1","38.1","11493"
"Aaron Judge","NYY","729","3161","220","535","497","40","14.9%","28.7%",".299",".345",".284",".394",".583",".407","","163","3.6","241.4","8.6","36.1","15640"
"Bryce Harper","- - -","1025","4419","230","703","668","91","16.4%","21.7%",".261",".321",".283",".403",".544",".395","","147","0.9","257.6","-63.4","34.1","11579"
"Xander Bogaerts","BOS","1102","4745","143","685","632","71","8.8%","17.6%",".173",".341",".299",".364",".472",".358","","123","26.1","155.2","20.9","34.0","12161"
"Josh Donaldson","- - -","928","3976","203","581","562","23","13.5%","21.6%",".244",".292",".263",".368",".507",".372","","136","-6.3","167.7","18.5","32.4","5038"
"Kris Bryant","- - -","926","4019","172","620","501","44","11.4%","23.3%",".223",".335",".279",".376",".503",".375","","134","28.5","198.0","-11.8","32.2","15429"
"Trea Turner","- - -","849","3737","124","586","434","230","7.2%","18.0%",".185",".344",".302",".355",".487",".359","","124","42.1","155.9","36.9","31.6","16252"
"Carlos Correa","- - -","888","3813","155","508","553","33","10.7%","20.5%",".200",".318",".279",".357",".479",".357","","130","1.0","136.4","42.9","31.3","14162"
"George Springer","- - -","928","4147","201","670","533","61","10.8%","20.5%",".224",".302",".272",".359",".496",".365","","135","7.5","181.5","-14.5","31.1","12856"
"Christian Yelich","- - -","1043","4503","161","667","560","125","12.2%","21.8%",".192",".345",".287",".379",".480",".367","","132","29.4","208.0","-51.3","30.9","11477"
"Alex Bregman","HOU","805","3474","140","512","490","36","12.7%","13.6%",".220",".285",".277",".375",".497",".372","","139","-3.4","162.6","25.2","30.8","17678"
"Justin Turner","LAD","966","3898","149","522","531","27","9.5%","15.1%",".198",".312",".292",".373",".490",".369","","135","-3.5","164.5","9.9","30.5","5235"
"Yasmani Grandal","- - -","901","3460","153","388","438","9","14.8%","23.7%",".205",".271",".235",".351",".440",".342","","116","-39.4","31.1","150.5","29.8","11368"
"J.T. Realmuto","- - -","994","4009","134","515","506","78","6.7%","19.9%",".181",".318",".276",".333",".457",".337","","112","28.0","87.0","79.2","29.8","11739"
"Buster Posey","SFG","768","3152","75","376","377","17","10.0%","12.6%",".142",".321",".297",".370",".438",".347","","119","-18.5","55.1","110.1","27.2","9166"
"Anthony Rizzo","- - -","1100","4713","212","626","674","56","11.1%","14.7%",".224",".276",".269",".375",".493",".369","","133","-22.1","166.3","-56.2","26.9","3473"
"Anthony Rendon","- - -","822","3524","128","488","517","29","11.6%","15.4%",".204",".309",".287",".375",".491",".368","","128","4.9","132.7","19.8","26.7","12861"
"Corey Seager","- - -","787","3373","137","485","447","15","9.3%","17.9%",".208",".317",".287",".357",".494",".361","","129","8.8","131.2","18.7","26.2","13624"
"Starling Marte","- - -","935","3974","112","582","457","231","5.3%","18.4%",".163",".338",".292",".347",".455",".345","","118","27.7","115.9","8.2","25.6","9241"
"DJ LeMahieu","- - -","1049","4609","98","682","485","62","9.0%","13.8%",".131",".336",".303",".368",".434",".348","","111","-8.7","55.1","45.6","25.2","9874"
"Marcus Semien","- - -","1096","4742","178","646","530","101","8.9%","19.1%",".190",".285",".256",".323",".446",".330","","110","21.5","81.4","7.3","25.2","12533"
